;Artista;Seguidores;Popularidade
0;Drake;40530068;97
1;Ellie Goulding;6930954;84
2;Bebe Rexha;4042988;86
3;Alok;6202692;79
4;Foo Fighters;6729663;79
5;Weezer;1761482;75
6;Tenacious D;975827;66
7;CPM 22;574357;61
8;Raimundos;889766;63
9;Bon Jovi;6451732;80
10;Dave Matthews Band;1132280;70
11;The Goo Goo Dolls;1375003;72
12;Ivete Sangalo;1219171;67
13;Red Hot Chili Peppers;11498911;84
14;Panic! At The Disco;7907430;86
15;Nile Rodgers;53734;69
16;Capital Inicial;1777195;65
17;Iron Maiden;4609300;75
18;Scorpions;2676219;74
19;Helloween;592032;61
20;Sepultura;872123;59
21;P!nk;7008862;84
22;The Black Eyed Peas;3686838;78
23;H.E.R.;1719371;79
24;Anitta;8018116;83
25;Muse;5212434;79
26;Imagine Dragons;21876802;89
27;Nickelback;3835202;77
28;Os Paralamas Do Sucesso;1085481;64
